#     k          P(k)
#  (h/Mpc)
  1.0000E-02  2.6115E+02
  1.2589E-02  2.7865E+02
  1.5849E-02  2.8696E+02
  1.9953E-02  2.8488E+02
  2.5119E-02  2.7243E+02
  3.1623E-02  2.5066E+02
  3.9811E-02  2.2147E+02
  5.0119E-02  1.8751E+02
  6.3096E-02  1.5191E+02
  7.9433E-02  1.1779E+02
  1.0000E-01  8.7587E+01
  1.2589E-01  6.2682E+01
  1.5849E-01  4.3360E+01
  1.9953E-01  2.9117E+01
  2.5119E-01  1.9055E+01
  3.1623E-01  1.2194E+01
  3.9811E-01  7.6523E+00
  5.0119E-01  4.7200E+00
  6.3096E-01  2.8672E+00
  7.9433E-01  1.7182E+00
  1.0000E+00  1.0172E+00
  1.2589E+00  5.9572E-01
  1.5849E+00  3.4548E-01
  1.9953E+00  1.9860E-01
  2.5119E+00  1.1326E-01
  3.1623E+00  6.4130E-02
  3.9811E+00  3.6075E-02
  5.0119E+00  2.0174E-02
  6.3096E+00  1.1220E-02
  7.9433E+00  6.2098E-03
  1.0000E+01  3.4213E-03
  1.2589E+01  1.8771E-03
  1.5849E+01  1.0260E-03
  1.9953E+01  5.5878E-04
  2.5119E+01  3.0334E-04
  3.1623E+01  1.6418E-04
  3.9811E+01  8.8606E-05
  5.0119E+01  4.7695E-05
  6.3096E+01  2.5611E-05
  7.9433E+01  1.3721E-05
  1.0000E+02  7.3353E-06
